name_en;name_en
Sarande;Albania
Vlore;Albania
Albania;Albania
Tirana;Albania
Vosendorf;Austria
Schwechat;Austria
Graz;Austria
Axams;Austria
Innsbruck;Austria
Carinthia;Austria
Vienna;Austria
Minsk;Belarus
Brugge;Belgium
Waterloo;Belgium
Mechelen;Belgium
Antwerpen;Belgium
Namur;Belgium
Edegem;Belgium
Brussels;Belgium
Genval;Belgium
Mostar;Bosnia and Herzegovina
Neum;Bosnia and Herzegovina
Sofia;Bulgaria
Nessebar;Bulgaria
Pomorie;Bulgaria
Burgas;Bulgaria
Plovdiv;Bulgaria
Bansko;Bulgaria
Varna;Bulgaria
Umag;Croatia
Trogir;Croatia
Makarska;Croatia
Split;Croatia
Opatija;Croatia
Sibenik;Croatia
Cavtat;Croatia
Korenica;Croatia
Rijeka;Croatia
Dubrovnik;Croatia
Rovinj;Croatia
Podstrana;Croatia
Pula;Croatia
Porec;Croatia
Omisali;Croatia
Paphos;Cyprus
Limassol;Cyprus
Kyrenia;Cyprus
Larnaca;Cyprus
Protaras;Cyprus
Nicosia;Cyprus
Kissonerga;Cyprus
Paralimni;Cyprus
Brno;Czech Republic
Prague;Czech Republic
Aarhus;Denmark
Billund;Denmark
Copenhagen;Denmark
Ronne;Denmark
Kastrup;Denmark
Tallinn;Estonia
Parnu;Estonia
Tartu;Estonia
Tampere;Finland
Helsinki;Finland
Espoo;Finland
Vantaa;Finland
Avignon;France
Chelles;France
Taverny;France
Perpignan;France
